objectID,title,artistDisplayName,artistNationality,artistDisplayBio,objectDate,objectBeginDate,objectEndDate,department,classification,medium,culture,country,region,repository,objectURL,period,group,clean_title,title_length,happiness_score
276463,The Idiot,Fyodor Dostoyevsky,Russian,"Russian, Moscow 1821–1881 Saint Petersburg",1969,1969,1969,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276463,1951-2000,European,the idiot,2,4.0200000000000005
276466,Plays Unpleasant,George Bernard Shaw,Irish,"Irish, Dublin 1856–1950 Ayot St Lawrence, Hertfordshire (?)",1957,1957,1957,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276466,1951-2000,European,plays unpleasant,2,6.72
276496,The Charterhouse of Parma,Stendhal,French,,1972,1972,1972,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276496,1951-2000,European,the charterhouse of parma,4,4.960000000000001
276509,Arts Sauvages,Claude Roy,French,"French, Paris 1915–1997 Paris",1957,1957,1957,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276509,1951-2000,European,arts sauvages,2,6.58
276535,Memoirs of Hadrian,Marguerite Yourcenar,French,"French, 1903–1987",1954,1954,1954,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276535,1951-2000,European,memoirs of hadrian,3,4.94
282243,Annette Messager Collectioneuse,Annette Messager,French,"French, born 1943",1973,1973,1973,Photographs,Photographs,"Gelatin silver prints, ink and graphite on paper",,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282243,1951-2000,European,annette messager collectioneuse,3,
282248,"Sarajevo, Bosnia",Gilles Peress,French,"French, born 1946","1993, printed 1997",1993,1993,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282248,1951-2000,European,sarajevo bosnia,2,4.8
282249,"Goma, Zaire",Gilles Peress,French,"French, born 1946","1994, printed 1997",1994,1994,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282249,1951-2000,European,goma zaire,2,
282253,"Nyarubuye, Rwanda",Gilles Peress,French,"French, born 1946","1994, printed 1997",1994,1994,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282253,1951-2000,European,nyarubuye rwanda,2,
282254,"Branches Photographed From My Balcony, Koster",Dag Alveng,Norwegian,"Norwegian, born 1953",1997,1997,1997,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282254,1951-2000,European,branches photographed from my balcony koster,6,5.896666666666666
